fullName,htmlUrl,apiUrl,description,language,stars,forks,archived,updatedAt,topics,searchQuery,pageStatus,pageVisitedAt,pageError
"juicycleff/ultimate-backend","https://github.com/juicycleff/ultimate-backend","https://api.github.com/repos/juicycleff/ultimate-backend","Multi tenant SaaS starter kit with cqrs graphql microservice architecture, apollo federation, event source and authentication","TypeScript","2899","445","false","2026-08-10T08:55:44Z","apollo-federation|backend|boilerplate|consul|cqrs|cqrs-architectural-pattern|ddd|ddd-architecture|event-sourcing|eventstore|eventstream|gateways|graphql|graphql-server|microservices|multi-tenancy|nats|nats-streaming|nestjs|stripe","multi-tenant saas language:TypeScript","200","2026-08-13T07:49:46.047Z",""
"nextacular/nextacular","https://github.com/nextacular/nextacular","https://api.github.com/repos/nextacular/nextacular","An open-source starter kit that will help you build full-stack multi-tenant SaaS platforms efficiently and help you focus on developing your core SaaS features. Built on top of popular and modern technologies such as Next JS, Tailwind, Prisma, and Stripe.","TypeScript","1382","242","false","2026-08-10T10:03:04Z","analytics|backend|boilerplate-template|email|full-stack|javascript|multi-tenancy|next-auth|next-themes|nextjs|open-source|oss|prisma|saas|seo|starter-kit|stripe|tailwindcss|vercel","multi-tenant saas language:TypeScript","200","2026-08-13T07:49:45.958Z",""
"dougdotcon/drivetube","https://github.com/dougdotcon/drivetube","https://api.github.com/repos/dougdotcon/drivetube","DriveTube provides a secure, user-friendly interface for organizing and streaming video content and courses directly from Google Drive. It features integrated authentication, subscription management with cryptocurrency payments, and a responsive, adaptive UI.","TypeScript","130","19","false","2026-07-26T18:56:40Z","creator-economy|cryptocurrency-payments|fastify|google-drive|jwt|multi-tenant|mysql|nextauth|nextjs|pay-per-view|prisma|saas|subscription|tailwindcss|typescript|video-hosting|video-platform|video-streaming|web3|white-label","multi-tenant saas language:TypeScript","200","2026-08-13T07:49:45.970Z",""
"aozyildirim/Agena","https://github.com/aozyildirim/Agena","https://api.github.com/repos/aozyildirim/Agena","Agentic AI platform with pixel agent technology — autonomous code generation, PR automation & multi-tenant SaaS","TypeScript","97","19","false","2026-08-11T23:02:37Z","agentic-ai|agentic-ai-development|agentic-workflow|ai-agents|crewai|pixel|pixel-agents","multi-tenant saas language:TypeScript","200","2026-08-13T07:49:46.106Z",""
"AstraOnlineWeb/astracampaign","https://github.com/AstraOnlineWeb/astracampaign","https://api.github.com/repos/AstraOnlineWeb/astracampaign","Astra Campaign é uma plataforma SaaS open-source para campanhas em massa no WhatsApp. Multi-tenant com isolamento por empresa, quotas, backup automático, integração com IA para personalização e suporte a múltiplos provedores, com arquitetura moderna e recursos enterprise.","TypeScript","71","59","false","2026-07-20T12:53:12Z","","multi-tenant saas language:TypeScript","200","2026-08-13T07:49:46.172Z",""
"MahmoudFarouk2479/Arab-Enterprise-Kit-Lite","https://github.com/MahmoudFarouk2479/Arab-Enterprise-Kit-Lite","https://api.github.com/repos/MahmoudFarouk2479/Arab-Enterprise-Kit-Lite","A production-ready, open-source starter kit for building enterprise-grade SaaS applications. Built with Spring Boot 4.0.1 and Angular 21, it ships with everything you need to launch a multi-tenant B2B platform — authentication, invoicing, customer management, and full Arabic/RTL support out of the box.","TypeScript","56","13","false","2026-08-09T09:37:47Z","","multi-tenant saas language:TypeScript","200","2026-08-13T07:49:45.999Z",""
"rcrdk/nextjs-fastify-saas-rbac","https://github.com/rcrdk/nextjs-fastify-saas-rbac","https://api.github.com/repos/rcrdk/nextjs-fastify-saas-rbac","This project contains all the necessary boilerplate to setup a multi-tenant SaaS with Next.js and Fastify including authentication and RBAC authorization.","TypeScript","51","17","false","2026-08-03T11:25:59Z","boilerplate|casl|docker|fastify|ky-http-client|monorepo|multi-tenant|nextjs|nodejs|postgresql|prisma-orm|rbac|react|saas|saas-boilerplate|shadcn-ui|turborepo|typescript|zod","multi-tenant saas language:TypeScript","200","2026-08-13T07:49:46.261Z",""
"ever-co/ever-api-starter-kit","https://github.com/ever-co/ever-api-starter-kit","https://api.github.com/repos/ever-co/ever-api-starter-kit","Ever® API Starter Kit™ - NestJs based Starter Kit / Boilerplate for Multi-Tenant / SaaS APIs","TypeScript","46","8","false","2026-07-19T12:10:57Z","backend-api|boilerplate|cqrs|graphql|nestjs|starter|starter-kit|starter-template","multi-tenant saas language:TypeScript","200","2026-08-13T07:49:46.043Z",""
"sourcefuse/arc-saas","https://github.com/sourcefuse/arc-saas","https://api.github.com/repos/sourcefuse/arc-saas","SaaS control plane microservices Created by Sourcefuse for the Community","TypeScript","32","5","false","2026-08-11T07:03:20Z","loopback4|microservices|multi-tenancy|multi-tenant|nodejs|opensource|saas","multi-tenant saas language:TypeScript","200","2026-08-13T07:49:47.055Z",""
"thinkdj/ottabase","https://github.com/thinkdj/ottabase","https://api.github.com/repos/thinkdj/ottabase","Full-stack SaaS monorepo for Cloudflare Workers. ORM, auth, RBAC, multi-tenancy, queues, realtime, blog. Edge-native, all included, for Solo Founders","TypeScript","31","6","false","2026-08-10T02:05:41Z","authjs|cloudflare|cloudflare-d1|cloudflare-first|cloudflare-workers|edge-computing|monorepo|multi-tenant|open-source|orm|rbac|saas|saas-boilerplate|saas-tools|solo-founder|turborepo|typescript|ux","multi-tenant saas language:TypeScript","200","2026-08-13T07:49:46.830Z",""
"kobie3717/wasp","https://github.com/kobie3717/wasp","https://api.github.com/repos/kobie3717/wasp","WaSP — WhatsApp Session Protocol. The missing infrastructure layer between WhatsApp and your application.","TypeScript","30","6","false","2026-08-13T02:10:24Z","anti-ban|automation|baileys|bot|chatbot|messaging|multi-tenant|nodejs|protocol|queue|saas|session-management|typescript|whatsapp|whatsapp-api|whatsapp-bot","multi-tenant saas language:TypeScript","200","2026-08-13T07:49:46.821Z",""
"simonireilly/saas-stack","https://github.com/simonireilly/saas-stack","https://api.github.com/repos/simonireilly/saas-stack","Multi-tenant POC for federated identities with AWS CDK","TypeScript","29","1","false","2025-10-05T15:06:51Z","","multi-tenant saas language:TypeScript","200","2026-08-13T07:49:46.762Z",""
"unifie-cloud/u-store","https://github.com/unifie-cloud/u-store","https://api.github.com/repos/unifie-cloud/u-store","Template for your own multi-tenant SaaS cloud. Allow to build cloud SaaS platform from any software and make it multi tenancy without coding skills","TypeScript","28","4","false","2026-07-27T14:23:29Z","b2b|b2b-portal|boilerplates|cloud|cluster-management|kubernetes-ui|managed-services|multi-cloud-kubernetes|multi-tenant|multi-tenant-applications|multitenancy|multitenant|saas|saas-app|saas-application|saas-boilerplate|self-service|starter|starter-kit|starter-template","multi-tenant saas language:TypeScript","200","2026-08-13T07:49:47.098Z",""
"omnistrate-oss/customer-portal","https://github.com/omnistrate-oss/customer-portal","https://api.github.com/repos/omnistrate-oss/customer-portal","Working template for a SaaS service FrontEnd for Services created using Omnistrate","TypeScript","27","11","false","2026-08-11T10:34:02Z","as-a-service|cloud-computing|multi-cloud|multi-tenant|saas|saas-boilerplate","multi-tenant saas language:TypeScript","200","2026-08-13T07:49:46.917Z",""
"logto-io/multi-tenant-saas-sample","https://github.com/logto-io/multi-tenant-saas-sample","https://api.github.com/repos/logto-io/multi-tenant-saas-sample","","TypeScript","24","6","false","2026-07-22T14:02:47Z","","multi-tenant saas language:TypeScript","200","2026-08-13T07:49:46.748Z",""
